NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
180012379089;2018;2;F;0;1;1;2;0;4;1;0;1301902;Itacoatiara;13;AM;4;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;448;454;457;460;470.2;614.6;575.3;544.1;ECBDAAEBACBBDEEAABCAEBCBDABCBCCCDEDBACECAECBA;ABDCAEBBEAABBAEDAEADCBAEEEEAEEABEACABCEBACDBA;ABCAB99999CCACBABEBAAAEAABAADACDADDCECCBBDABBABACD;EDBDEBCCDEADDBEBCBCDBDDCCDACBEDCCBADCDBADEBBB;0;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;160;120;120;140;100;640;E;F;D;D;3;F;A;B;D;A;C;B;B;B;A;A;A;A;C;B;A;E;A;B;B;B;B
180012382478;2018;11;F;0;3;1;2;0;2;3;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;C;B;B;5;B;A;B;D;A;B;B;A;B;A;A;A;A;B;B;A;B;A;A;B;B;A
180012386595;2018;2;M;0;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;448;454;457;460;599.6;653.6;578.4;690.4;BDACECEEBBABDDCBCEBDADCBDECDEDAECACBDABEDEABE;AEEBAABAADEEAAEABEBDEEEDEEEBEEBCECECBDBAACDCD;DBECA99999ACADBBCBEBABABABAADACEACBABCBBAAAAABCD.D;ADEBCEABEBADCEBEDBCAEDABCEABDCADDECBECBCEDCAD;0;BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA;CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD;CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED;ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD;1;160;200;180;180;200;920;E;E;F;D;3;C;A;B;A;A;B;B;A;A;A;A;A;A;B;B;A;B;A;B;B;B;C
180012390643;2018;10;F;0;3;1;2;0;2;3;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;H;H;A;B;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;B;B;C;A;A;A;B;A
180012396715;2018;2;F;0;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;C;C;D;A;4;C;A;B;C;A;B;A;B;A;A;A;A;A;B;B;A;B;A;A;A;B;A
180012400436;2018;3;F;0;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;450;453;458;461;451.7;540;567.9;475.8;BBBDECAEBEBEECCDBABAABDCCCBACBACBAECDDCAEBEAE;EBEADEDBCBECCBACBECCDCDDCAAAEBDDCDBBDDDCEBDBE;ACDEB99999ACDBADEECCDBEDABCADCCDEBCDBDDDCECDECCDBC;CECADEDCEBBBDEBCADEBDBCBCBBCACCDBAACABECADBDE;0;ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB;ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE;BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED;EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX;1;140;120;120;120;60;560;G;G;E;F;3;I;A;C;C;A;E;B;A;B;B;B;A;B;D;B;B;E;A;B;B;B;B
180012409854;2018;5;M;0;0;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;447;452;456;459;425.6;506.5;457.7;500.7;AABEACACECDABAABEADDCACCCAEBAEAADAABEAAEDCABC;CDDCBDACAEAAABBABAAAAABAAAAEADBAABBBAEDDAAEBD;DDEEC99999CABEDCDACAEADDDBADEAADDBBBDEDCCDCEADDAAC;AACBCCAABDCBAAAADAACADAAAACCACABADBCAAAAAABCD;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1;100;40;40;120;40;340;B;B;F;F;5;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;A;B;A
180012427036;2018;3;F;0;3;1;2;0;3;1;0;1301902;Itacoatiara;13;AM;3;2;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;A;A;7;B;A;B;B;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A
180012431616;2018;2;F;0;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;447;452;456;459;546.4;648.6;585.1;448.4;BBCEEBCECADEDABCADDCBBCBDDCDAEECCACDEDAEBABAC;CAACAEEBECACACCEDEEDBAADBEEACEBABBEEAEABBAECE;BEDDC99999DBBADDBDAEDABBEABBABCBBCBBBEBBDBDACECECC;CAEDEDCAEBDAABEBADBCBECAADCEACABCCEDDCBBECBAA;0;BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED;AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC;BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB;ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB;1;140;140;140;120;80;620;H;D;B;A;7;B;A;C;D;A;B;B;B;B;A;A;A;A;B;B;A;E;A;A;A;B;A
180012437481;2018;5;M;0;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;C;A;A;4;B;A;B;C;A;A;A;B;A;A;A;A;A;B;A;A;B;A;A;A;B;A
